/********** 初始化计算参数设置记录 ***********/
Workpiece :120 * 240
updie's velocity :(vx,vy) 0  10
The number of nodes:  91
The number of faces:  144
u0:  0.0001
uf:  0.1
Incritime: 0.24
strainv0: 0.0001
AlphaMF:  2.4e+007
steps: 80
————————————————————
Trimesh_vertexID   Tri_vertex_x_y   Tri_vertex_vx_vy   Tri_vertex_effstrain_effstress
step id: 1
58 57 51   40 160 20 160 40 140   0.867149 3.31077 0.436595 3.36871 0.870853 4.17576   0.0103264 49.3988 0.0104287 49.464 0.011633 50.1937 
65 58 59   40 180 40 160 60 160   0.856976 2.45589 0.867149 3.31077 1.29123 3.2584   0.00792657 47.6787 0.0103264 49.3988 0.0106971 49.6328 
51 52 58   40 140 60 140 40 160   0.870853 4.17576 1.30082 4.11434 0.867149 3.31077   0.011633 50.1937 0.0232383 55.0704 0.0103264 49.3988 
72 65 66   40 200 40 180 60 180   0.840981 1.61686 0.856976 2.45589 1.27112 2.41627   0.00996377 49.1627 0.00792657 47.6787 0.0101637 49.2937 
65 71 64   40 180 20 200 20 180   0.856976 2.45589 0.426242 1.64971 0.43309 2.50313   0.00792657 47.6787 0.0129154 50.902 0.0103163 49.3923 
37 30 38   40 100 40 80 60 100   0.861008 5.91029 0.846443 6.77082 1.29445 5.84492   0.0349703 58.1704 0.0223246 54.7752 0.0103856 49.4366 
65 64 58   40 180 20 180 40 160   0.856976 2.45589 0.43309 2.50313 0.867149 3.31077   0.00792657 47.6787 0.0103163 49.3923 0.0103264 49.3988 
71 78 77   20 200 20 220 0 220   0.426242 1.64971 0.416175 0.8142 0 0.827897   0.0129154 50.902 0.00591066 45.8401 0.00920185 48.6414 
78 71 72   20 220 20 200 40 200   0.416175 0.8142 0.426242 1.64971 0.840981 1.61686   0.00591066 45.8401 0.0129154 50.902 0.00996377 49.1627 
85 78 79   20 240 20 220 40 220   0.407805 0 0.416175 0.8142 0.820855 0.79635   0.00973552 49.0102 0.00591066 45.8401 0.00971329 48.9952 
78 85 84   20 220 20 240 0 240   0.416175 0.8142 0.407805 0 0 0   0.00591066 45.8401 0.00973552 49.0102 0.00903066 48.5191 
72 79 78   40 200 40 220 20 220   0.840981 1.61686 0.820855 0.79635 0.416175 0.8142   0.00996377 49.1627 0.00971329 48.9952 0.00591066 45.8401 
73 79 72   60 200 40 220 40 200   1.24625 1.59177 0.820855 0.79635 0.840981 1.61686   0.0109099 49.7639 0.00971329 48.9952 0.00996377 49.1627 
80 86 79   60 220 40 240 40 220   1.2168 0.783404 0.799522 0 0.820855 0.79635   0.00953333 48.8726 0.00895225 48.4625 0.00971329 48.9952 
79 86 85   40 220 40 240 20 240   0.820855 0.79635 0.799522 0 0.407805 0   0.00971329 48.9952 0.00895225 48.4625 0.00973552 49.0102 
71 65 72   20 200 40 180 40 200   0.426242 1.64971 0.856976 2.45589 0.840981 1.61686   0.0129154 50.902 0.00792657 47.6787 0.00996377 49.1627 
38 45 44   60 100 60 120 40 120   1.29445 5.84492 1.30189 4.97813 0.868281 5.04419   0.0103856 49.4366 0.00766274 47.4629 0.0104145 49.455 
44 43 37   40 120 20 120 40 100   0.868281 5.04419 0.434819 5.11089 0.861008 5.91029   0.0104145 49.455 0.0104228 49.4603 0.0349703 58.1704 
36 37 43   20 100 40 100 20 120   0.429035 5.9753 0.861008 5.91029 0.434819 5.11089   0.0104649 49.487 0.0349703 58.1704 0.0104228 49.4603 
31 32 38   60 80 80 80 60 100   1.28026 6.70851 1.71522 6.64415 1.29445 5.84492   0.0213393 54.4449 0.0257649 55.8373 0.0103856 49.4366 
18 17 11   80 40 60 40 80 20   1.6414 8.35967 1.21274 8.40408 1.58692 9.19372   0.0101089 49.258 0.0247924 55.5502 0.0098498 49.0869 
11 4 5   80 20 80 0 100 0   1.58692 9.19372 1.53511 10 1.95771 10   0.0098498 49.0869 0.00964356 48.9479 0.0099931 49.182 
11 12 18   80 20 100 20 80 40   1.58692 9.19372 2.0194 9.1656 1.6414 8.35967   0.0098498 49.0869 0.0114419 50.0824 0.0101089 49.258 
12 11 5   100 20 80 20 100 0   2.0194 9.1656 1.58692 9.19372 1.95771 10   0.0114419 50.0824 0.0098498 49.0869 0.0099931 49.182 
12 5 6   100 20 100 0 120 0   2.0194 9.1656 1.95771 10 2.40469 10   0.0114419 50.0824 0.0099931 49.182 0.010234 49.3393 
25 18 19   80 60 80 40 100 40   1.68597 7.50686 1.6414 8.35967 2.07994 8.31354   0.0102956 49.379 0.0101089 49.258 0.010301 49.3824 
25 24 18   80 60 60 60 80 40   1.68597 7.50686 1.25073 7.56476 1.6414 8.35967   0.0102956 49.379 0.0357401 58.3404 0.0101089 49.258 
52 45 46   60 140 60 120 80 120   1.30082 4.11434 1.30189 4.97813 1.73091 4.91625   0.0232383 55.0704 0.00766274 47.4629 0.00930564 48.7145 
31 25 32   60 80 80 60 80 80   1.28026 6.70851 1.68597 7.50686 1.71522 6.64415   0.0213393 54.4449 0.0102956 49.379 0.0257649 55.8373 
38 32 39   60 100 80 80 80 100   1.29445 5.84492 1.71522 6.64415 1.72847 5.77841   0.0103856 49.4366 0.0257649 55.8373 0.0189291 53.5774 
45 52 51   60 120 60 140 40 140   1.30189 4.97813 1.30082 4.11434 0.870853 4.17576   0.00766274 47.4629 0.0232383 55.0704 0.011633 50.1937 
39 45 38   80 100 60 120 60 100   1.72847 5.77841 1.30189 4.97813 1.29445 5.84492   0.0189291 53.5774 0.00766274 47.4629 0.0103856 49.4366 
33 39 32   100 80 80 100 80 80   2.15174 6.58129 1.72847 5.77841 1.71522 6.64415   0.0102574 49.3543 0.0189291 53.5774 0.0257649 55.8373 
40 46 39   100 100 80 120 80 100   2.1599 5.71663 1.73091 4.91625 1.72847 5.77841   0.0103485 49.4129 0.00930564 48.7145 0.0189291 53.5774 
39 46 45   80 100 80 120 60 120   1.72847 5.77841 1.73091 4.91625 1.30189 4.97813   0.0189291 53.5774 0.00930564 48.7145 0.00766274 47.4629 
32 25 26   80 80 80 60 100 60   1.71522 6.64415 1.68597 7.50686 2.12588 7.44936   0.0257649 55.8373 0.0102956 49.379 0.0255026 55.7608 
53 52 46   80 140 60 140 80 120   1.72387 4.06198 1.30082 4.11434 1.73091 4.91625   0.0226757 54.8898 0.0232383 55.0704 0.00930564 48.7145 
18 12 19   80 40 100 20 100 40   1.6414 8.35967 2.0194 9.1656 2.07994 8.31354   0.0101089 49.258 0.0114419 50.0824 0.010301 49.3824 
11 10 4   80 20 60 20 80 0   1.58692 9.19372 1.17101 9.21783 1.53511 10   0.0098498 49.0869 0.00946687 48.8268 0.00964356 48.9479 
26 19 20   100 60 100 40 120 40   2.12588 7.44936 2.07994 8.31354 2.52771 8.27537   0.0255026 55.7608 0.010301 49.3824 0.0104459 49.4749 
13 12 6   120 20 100 20 120 0   2.46604 9.14315 2.0194 9.1656 2.40469 10   0.0103354 49.4045 0.0114419 50.0824 0.010234 49.3393 
19 12 13   100 40 100 20 120 20   2.07994 8.31354 2.0194 9.1656 2.46604 9.14315   0.010301 49.3824 0.0114419 50.0824 0.0103354 49.4045 
19 26 25   100 40 100 60 80 60   2.07994 8.31354 2.12588 7.44936 1.68597 7.50686   0.010301 49.3824 0.0255026 55.7608 0.0102956 49.379 
13 20 19   120 20 120 40 100 40   2.46604 9.14315 2.52771 8.27537 2.07994 8.31354   0.0103354 49.4045 0.0104459 49.4749 0.010301 49.3824 
20 27 26   120 40 120 60 100 60   2.52771 8.27537 2.5726 7.39988 2.12588 7.44936   0.0104459 49.4749 0.01049 49.5029 0.0255026 55.7608 
26 27 34   100 60 120 60 120 80   2.12588 7.44936 2.5726 7.39988 2.58789 6.52608   0.0255026 55.7608 0.01049 49.5029 0.0169522 52.7914 
